Designator,Footprint,Quantity,Value,LCSC Part #
Ext_1,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,Pin Header 1x04,
"LED1, LED2",LED_D3.0mm,2,Red,
SW_1,B3F1000,1,B3F-1055,
