Designator,Footprint,Quantity,Value,LCSC Part #
"BL_1, BL_10, BL_11, BL_12, BL_13, BL_14, BL_15, BL_16, BL_17, BL_18, BL_19, BL_2, BL_20, BL_3, BL_4, BL_5, BL_6, BL_7, BL_8, BL_9",LED_D3.0mm,20,YELLOW,
C2,C_Disc_D3.0mm_W1.6mm_P2.50mm,1,0.1uF Ceramic,
MUX1,MUX74HC4067,1,MUX74HC4067,
R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,1k,
"RSW_AIR1, RSW_ATT1, RSW_EIS1, RSW_ND1",SR16-AB,4,SR16 3pos,
TO_ECAM1,IDC-Header_2x07_P2.54mm_Vertical,1,Pin Header 2x07,
U2,DIP-16_W7.62mm,1,TLC5917,
