Designator,Footprint,Quantity,Value,LCSC Part #
"BL_1, BL_2, BL_3, BL_4",LED_D3.0mm,4,YELLOW,
"BTN_ELAC2, BTN_FAC2, BTN_SEC2, BTN_SEC3",B3F1000,4,B3F-1055,
"ELAC2_FAULT1, FAC2_FAULT1, SEC2_FAULT1, SEC3_FAULT1",LED_D3.0mm,4,AMBER,
"ELAC2_OFF1, FAC2_OFF1, SEC2_OFF1, SEC3_OFF1",LED_D3.0mm,4,WHITE,
FLT_CTL_FO1,IDC-Header_2x08_P2.54mm_Vertical,1,Pin Header,
