Designator,Footprint,Quantity,Value,LCSC Part #
"BL_1, BL_2, BL_3, BL_4",LED_D3.0mm,4,YELLOW,
"BTN_ELAC1, BTN_FAC1, BTN_SEC1",B3F1000,3,B3F-1055,
"ELAC1_FAULT1, FAC1_FAULT1, SEC1_FAULT1",LED_D3.0mm,3,AMBER,
"ELAC1_OFF1, FAC1_OFF1, SEC1_OFF1",LED_D3.0mm,3,WHITE,
FLT_CTL_CPT1,IDC-Header_2x07_P2.54mm_Vertical,1,Pin Header 2x07,
